Sonarqube_RuleId,PMD_RuleId,Sonarqube_RuleDescription,PMD_RuleDescription
S2333,UnnecessaryModifier,"Redundant modifiers should not be used
 The methods declared in an interface are public and abstract by default. Any variables are automatically public static final. There is no need to explicitly declare them so. Since annotations are implicitly interfaces, the same holds true for them as well. Similarly, the final modifier is redundant on any method of a final class, and private is redundant on the constructor of an Enum.  

public interface Vehicle {

  public void go(int speed, Direction direction);  // Noncompliant
public interface Vehicle {

  void go(int speed, Direction direction);","UnnecessaryModifier
Fields in interfaces and annotations are automatically public static final, and methods are public abstract. Classes, interfaces or annotations nested in an interface or annotation are automatically public static (all nested interfaces and annotations are automatically static). Nested enums are automatically static. For historical reasons, modifiers which are implied by the context are accepted by the compiler, but are superfluous.  
public @interface Annotation {
    public abstract void bar();     // both abstract and public are ignored by the compiler
    public static final int X = 0;  // public, static, and final all ignored
    public static class Bar {}      // public, static ignored
    public static interface Baz {}  // ditto
}
public interface Foo {
    public abstract void bar();     // both abstract and public are ignored by the compiler
    public static final int X = 0;  // public, static, and final all ignored
    public static class Bar {}      // public, static ignored
    public static interface Baz {}  // ditto
}
public class Bar {
    public static interface Baz {}  // static ignored
    public static enum FoorBar {    // static ignored
        FOO;
    }
}
"
S1170,FinalFieldCouldBeStatic,"Public constants and fields initialized at declaration should be ""static final"" rather than merely ""final""
 Making a public constant just final as opposed to static final leads to duplicating its value for every instance of the class, uselessly increasing the amount of memory required to execute the application. Further, when a non-public, final field isn't also static, it implies that different instances can have different values. However, initializing a non-static final field in its declaration forces every instance to have the same value. So such fields should either be made static or initialized in the constructor.   Exceptions No issues are reported on final fields of inner classes whose type is not a primitive or a String. Indeed according to the Java specification:  An inner class is a nested class that is not explicitly or implicitly declared static. Inner classes may not declare static initializers (§8.7) or member interfaces. Inner classes may not declare static members, unless they are compile-time constant fields (§15.28). 

public class Myclass {
  public final int THRESHOLD = 3;
}
public class Myclass {
  public static final int THRESHOLD = 3;    // Compliant
}","FinalFieldCouldBeStatic
If a final field is assigned to a compile-time constant, it could be made static, thus saving overhead in each object at runtime.  
public class Foo {
  public final int BAR = 42; // this could be static and save some space
}
"
S1700,AvoidFieldNameMatchingTypeName,"A field should not duplicate the name of its containing class
 It's confusing to have a class member with the same name (case differences aside) as its enclosing class. This is particularly so when you consider the common practice of naming a class instance for the class itself. Best practice dictates that any field or member with the same name as the enclosing class be renamed to be more descriptive of the particular aspect of the class it represents or holds.   Exceptions When the type of the field is the containing class and that field is static, no issue is raised to allow singletons named like the type.

public class Foo {
  private String foo;

  public String getFoo() { }
}

Foo foo = new Foo();
foo.getFoo() // what does this return?
public class Foo {
  private String name;

  public String getName() { }
}

//...

Foo foo = new Foo();
foo.getName()

public class Foo {
  ...
  private static Foo foo;
  public Foo getInstance() {
    if(foo==null) {
      foo = new Foo();
    }
    return foo;
  }
  ...
}","AvoidFieldNameMatchingTypeName
It is somewhat confusing to have a field name matching the declaring class name. This probably means that type and/or field names should be chosen more carefully.  
public class Foo extends Bar {
    int foo;    // There is probably a better name that can be used
}
"
S1215,DoNotCallGarbageCollectionExplicitly,"Execution of the Garbage Collector should be triggered only by the JVM
 Calling System.gc() or Runtime.getRuntime().gc() is a bad idea for a simple reason: there is no way to know exactly what will be done under the hood by the JVM because the behavior will depend on its vendor, version and options:  Will the whole application be frozen during the call? Is the -XX:DisableExplicitGC option activated? Will the JVM simply ignore the call? ...  An application relying on these unpredictable methods is also unpredictable and therefore broken. The task of running the garbage collector should be left exclusively to the JVM.
none","DoNotCallGarbageCollectionExplicitly
Calls to System.gc(), Runtime.getRuntime().gc(), and System.runFinalization() are not advised. Code should have the same behavior whether the garbage collection is disabled using the option -Xdisableexplicitgc or not. Moreover, ""modern"" jvms do a very good job handling garbage collections. If memory usage issues unrelated to memory leaks develop within an application, it should be dealt with JVM options rather than within the code itself.  
public class GCCall {
    public GCCall() {
        // Explicit gc call !
        System.gc();
    }
    public void doSomething() {
        // Explicit gc call !
        Runtime.getRuntime().gc();
    }
    public explicitGCcall() {
        // Explicit gc call !
        System.gc();
    }
    public void doSomething() {
        // Explicit gc call !
        Runtime.getRuntime().gc();
    }
}
"
S3010,AssignmentToNonFinalStatic,"Static fields should not be updated in constructors
 Assigning a value to a static field in a constructor could cause unreliable behavior at runtime since it will change the value for all instances of the class. Instead remove the field's static modifier, or initialize it statically.  

public class Person {
  static Date dateOfBirth;
  static int expectedFingers;

  public Person(date birthday) {
    dateOfBirth = birthday;  // Noncompliant; now everyone has this birthday
    expectedFingers = 10;  // Noncompliant
  }
}
public class Person {
  Date dateOfBirth;
  static int expectedFingers = 10;

  public Person(date birthday) {
    dateOfBirth = birthday;
  }
}","AssignmentToNonFinalStatic
Identifies a possible unsafe usage of a static field.  
public class StaticField {
   static int x;
   public FinalFields(int y) {
    x = y; // unsafe
   }
}
"
S100,MethodNamingConventions,"Method names should comply with a naming convention
 Shared naming conventions allow teams to collaborate efficiently. This rule checks that all method names match a provided regular expression.  With default provided regular expression ^[a-z][a-zA-Z0-9]*$:  Exceptions Overriding methods are excluded.

public int DoSomething(){...}
public int doSomething(){...}
@Override
public int Do_Something(){...}","MethodNamingConventions
Configurable naming conventions for method declarations. This rule reports method declarations which do not match the regex that applies to their specific kind (e.g. JUnit test or native method). Each regex can be configured through properties.  By default this rule uses the standard Java naming convention (Camel case).  
public class Foo {
    public void fooStuff() {
    }
}
"
S131,SwitchStmtsShouldHaveDefault,"""switch"" statements should have ""default"" clauses
 The requirement for a final default clause is defensive programming. The clause should either take appropriate action, or contain a suitable comment as to why no action is taken.   Exceptions If the switch parameter is an Enum and if all the constants of this enum are used in the case statements, then no default clause is expected. Example: See  - Missing Default Case in Switch Statement - Strive for logical completeness 

switch (param) {  //missing default clause
  case 0:
    doSomething();
    break;
  case 1:
    doSomethingElse();
    break;
}

switch (param) {
  default: // default clause should be the last one
    error();
    break;
  case 0:
    doSomething();
    break;
  case 1:
    doSomethingElse();
    break;
}
switch (param) {
  case 0:
    doSomething();
    break;
  case 1:
    doSomethingElse();
    break;
  default:
    error();
    break;
}
public enum Day {
    SUNDAY, MONDAY
}
...
switch(day) {
  case SUNDAY:
    doSomething();
    break;
  case MONDAY:
    doSomethingElse();
    break;
}","SwitchStmtsShouldHaveDefault
All switch statements should include a default option to catch any unspecified values.  
public void bar() {
    int x = 2;
    switch (x) {
      case 1: int j = 6;
      case 2: int j = 8;
          // missing default: here
    }
}
"
S1450,SingularField,"Private fields only used as local variables in methods should become local variables
 When the value of a private field is always assigned to in a class' methods before being read, then it is not being used to store class information. Therefore, it should become a local variable in the relevant methods to prevent any misunderstanding.   Exceptions This rule doesn't raise any issue on annotated field.

public class Foo {
  private int a;
  private int b;

  public void doSomething(int y) {
    a = y + 5;
    ...
    if(a == 0) {
      ...
    }
    ...
  }

  public void doSomethingElse(int y) {
    b = y + 3;
    ...
  }
}
public class Foo {

  public void doSomething(int y) {
    int a = y + 5;
    ...
    if(a == 0) {
      ...
    }
  }

  public void doSomethingElse(int y) {
    int b = y + 3;
    ...
  }
}","SingularField
Fields whose scopes are limited to just single methods do not rely on the containing object to provide them to other methods. They may be better implemented as local variables within those methods.  
public class Foo {
    private int x;  // no reason to exist at the Foo instance level
    public void foo(int y) {
     x = y + 5;
     return x;
    }
}
"
S1068,UnusedPrivateField,"Unused ""private"" fields should be removed
 If a private field is declared but not used in the program, it can be considered dead code and should therefore be removed. This will improve maintainability because developers will not wonder what the variable is used for. Note that this rule does not take reflection into account, which means that issues will be raised on private fields that are only accessed using the reflection API.   Exceptions The Java serialization runtime associates with each serializable class a version number, called serialVersionUID, which is used during deserialization to verify that the sender and receiver of a serialized object have loaded classes for that object that are compatible with respect to serialization. A serializable class can declare its own serialVersionUID explicitly by declaring a field named serialVersionUID that must be static, final, and of type long. By definition those serialVersionUID fields should not be reported by this rule: Moreover, this rule doesn't raise any issue on annotated fields.

public class MyClass {
  private int foo = 42;

  public int compute(int a) {
    return a * 42;
  }

}
public class MyClass {
  public int compute(int a) {
    return a * 42;
  }
}
public class MyClass implements java.io.Serializable {
  private static final long serialVersionUID = 42L;
}","UnusedPrivateField
Detects when a private field is declared and/or assigned a value, but not used.  
public class Something {
    private static int FOO = 2; // Unused
    private int i = 5; // Unused
    private int j = 6;
    public int addOne() {
        return j++;
    }
}
"
S2047,BooleanGetMethodName,"The names of methods with boolean return values should start with ""is"" or ""has""
 Well-named functions can allow the users of your code to understand at a glance what to expect from the function - even before reading the documentation. Toward that end, methods returning a boolean should have names that start with ""is"" or ""has"" rather than with ""get"".   Exceptions Overriding methods are excluded.

public boolean getFoo() { // Noncompliant
  // ...
}

public boolean getBar(Bar c) { // Noncompliant
  // ...
}

public boolean testForBar(Bar c) { // Compliant - The method does not start by 'get'.
  // ...
}
public boolean isFoo() {
  // ...
}

public boolean hasBar(Bar c) {
  // ...
}

public boolean testForBar(Bar c) {
  // ...
}
@Override
public boolean getFoo(){
  // ...
}","BooleanGetMethodName
Methods that return boolean results should be named as predicate statements to denote this. I.e, ‘isReady()’, ‘hasValues()’, ‘canCommit()’, ‘willFail()’, etc.   Avoid the use of the ‘get’ prefix for these methods.  
public boolean getFoo();            // bad
public boolean isFoo();             // ok
public boolean getFoo(boolean bar); // ok, unless checkParameterizedMethods=true
"
S1144,UnusedPrivateMethod,"Unused ""private"" methods should be removed
 private methods that are never executed are dead code: unnecessary, inoperative code that should be removed. Cleaning out dead code decreases the size of the maintained codebase, making it easier to understand the program and preventing bugs from being introduced. Note that this rule does not take reflection into account, which means that issues will be raised on private methods that are only accessed using the reflection API.   Exceptions This rule doesn't raise any issue on annotated methods.

public class Foo implements Serializable
{
  private Foo(){}     //Compliant, private empty constructor intentionally used to prevent any direct instantiation of a class.
  public static void doSomething(){
    Foo foo = new Foo();
    ...
  }
  private void unusedPrivateMethod(){...}
  private void writeObject(ObjectOutputStream s){...}  //Compliant, relates to the java serialization mechanism
  private void readObject(ObjectInputStream in){...}  //Compliant, relates to the java serialization mechanism
}
public class Foo implements Serializable
{
  private Foo(){}     //Compliant, private empty constructor intentionally used to prevent any direct instantiation of a class.
  public static void doSomething(){
    Foo foo = new Foo();
    ...
  }

  private void writeObject(ObjectOutputStream s){...}  //Compliant, relates to the java serialization mechanism

  private void readObject(ObjectInputStream in){...}  //Compliant, relates to the java serialization mechanism
}","UnusedPrivateMethod
Unused Private Method detects when a private method is declared but is unused.  
public class Something {
    private void foo() {} // unused
}
"
S1941,PrematureDeclaration,"Variables should not be declared before they are relevant
 For the sake of clarity, variables should be declared as close to where they're used as possible. This is particularly true when considering methods that contain early returns and the potential to throw exceptions. In these cases, it is not only pointless, but also confusing to declare a variable that may never be used because conditions for an early return are met first.  

public boolean isConditionMet(int a, int b) {
  int difference = a - b;
  MyClass foo = new MyClass(a);  // Noncompliant; not used before early return

  if (difference &lt; 0) {
    return false;
  }

  // ...

  if (foo.doTheThing()) {
    return true;
  }
  return false;
}
public boolean isConditionMet(int a, int b) {
  int difference = a - b;

  if (difference &lt; 0) {
    return false;
  }

  // ...

  MyClass foo = new MyClass(a);
  if (foo.doTheThing()) {
    return true;
  }
  return false;
}","PrematureDeclaration
Checks for variables that are defined before they might be used. A reference is deemed to be premature if it is created right before a block of code that doesn’t use it that also has the ability to return or throw an exception.  
public int getLength(String[] strings) {
    int length = 0; // declared prematurely
    if (strings == null || strings.length == 0) return 0;
    for (String str : strings) {
        length += str.length();
    }
    return length;
}
"
S1066,CollapsibleIfStatements,"Collapsible ""if"" statements should be merged
 Merging collapsible if statements increases the code's readability.  

if (file != null) {
  if (file.isFile() || file.isDirectory()) {
    /* ... */
  }
}
if (file != null &amp;&amp; isFileOrDirectory(file)) {
  /* ... */
}

private static boolean isFileOrDirectory(File file) {
  return file.isFile() || file.isDirectory();
}","CollapsibleIfStatements
Sometimes two consecutive ‘if’ statements can be consolidated by separating their conditions with a boolean short-circuit operator.  
void bar() {
    if (x) {            // original implementation
        if (y) {
            // do stuff
        }
    }
}
void bar() {
    if (x &amp;&amp; y) {        // optimized implementation
        // do stuff
    }
}
"
S127,AvoidReassigningLoopVariables,"""for"" loop stop conditions should be invariant
A for loop stop condition should test the loop counter against an invariant value (i.e. one that is true at both the beginning and ending of every loop iteration). Ideally, this means that the stop condition is set to a local variable just before the loop begins. Stop conditions that are not invariant are slightly less efficient, as well as being difficult to understand and maintain, and likely lead to the introduction of errors in the future. This rule tracks three types of non-invariant stop conditions:  When the loop counters are updated in the body of the for loop When the stop condition depend upon a method call When the stop condition depends on an object property, since such properties could change during the execution of the loop.
for (int i = 0; i &lt; 10; i++) {
  ...
  i = i - 1; // Noncompliant; counter updated in the body of the loop
  ...
}
for (int i = 0; i &lt; 10; i++) {...}","Reassigning loop variables can lead to hard-to-find bugs. Prevent or limit how these variables can be changed.In foreach-loops, configured by the foreachReassign property:  deny: Report any reassignment of the loop variable in the loop body. This is the default.  allow: Don’t check the loop variable.  firstOnly: Report any reassignments of the loop variable, except as the first statement in the loop body.          This is useful if some kind of normalization or clean-up of the value before using is permitted, but any other change of the variable is not.In for-loops, configured by the forReassign property:  deny: Report any reassignment of the control variable in the loop body. This is the default.  allow: Don’t check the control variable.  skip: Report any reassignments of the control variable, except conditional increments/decrements (++, --, +=, -=).          This prevents accidental reassignments or unconditional increments of the control variable.
public class Foo {
  private void foo() {
    for (String s : listOfStrings()) {
      s = s.trim(); // OK, when foreachReassign is ""firstOnly"" or ""allow""
      doSomethingWith(s);
      s = s.toUpper(); // OK, when foreachReassign is ""allow""
      doSomethingElseWith(s);
    }
    for (int i=0; i &lt; 10; i++) {
      if (check(i)) {
        i++; // OK, when forReassign is ""skip"" or ""allow""
      }
      i = 5;  // OK, when forReassign is ""allow""
      doSomethingWith(i);
    }
  }
}"
S1656,IdempotentOperations,"Variables should not be self-assigned
There is no reason to re-assign a variable to itself. Either this statement is redundant and should be removed, or the re-assignment is a mistake and some other value or variable was intended for the assignment instead.   See  - Detect and remove code that has no effect or is never executed

public void setName(String name) {
  name = name;
}
public void setName(String name) {
  this.name = name;
}","Avoid idempotent operations - they have no effect.
public class Foo {
 public void bar() {
  int x = 2;
  x = x;
 }
}
"
S2147,IdenticalCatchBranches,"Catches should be combined
Since Java 7 it has been possible to catch multiple exceptions at once. Therefore, when multiple catch blocks have the same code, they should be combined for better readability. Note that this rule is automatically disabled when the project's sonar.java.source is lower than 7.
catch (IOException e) {
  doCleanup();
  logger.log(e);
}
catch (SQLException e) {  // Noncompliant
  doCleanup();
  logger.log(e);
}
catch (TimeoutException e) {  // Compliant; block contents are different
  doCleanup();
  throw e;
}
catch (IOException|SQLException e) {
  doCleanup();
  logger.log(e);
}
catch (TimeoutException e) {
  doCleanup();
  throw e;
}","Identical catch branches use up vertical space and increase the complexity of code withoutadding functionality. It’s better style to collapse identical branches into a single multi-catchbranch.
try {
    // do something
} catch (IllegalArgumentException e) {
    throw e;
} catch (IllegalStateException e) { // Can be collapsed into the previous block
    throw e;
}
try {
    // do something
} catch (IllegalArgumentException | IllegalStateException e) { // This is better
    throw e;
}
"
